code,regency_code,coordinate,is_populated,is_outermost_small,name
210540041,2105,02°44'29.43" N 105°22'50.27" E,0,1,Pulau Damar
210540042,2105,02°55'03.00" N 105°41'13.99" E,0,0,Pulau Darak
210540043,2105,02°50'34.00" N 105°46'23.00" E,0,0,Pulau Dayong
210540044,2105,02°59'32.22" N 106°07'38.03" E,0,0,Pulau Dekar
210540045,2105,03°11'07.00" N 106°18'19.00" E,0,0,Pulau Dekit
210540046,2105,03°03'01.42" N 105°57'06.42" E,0,0,Pulau Dengkol
210540047,2105,03°05'08.00" N 105°40'23.00" E,0,0,Pulau Duata
210540048,2105,02°58'29.73" N 105°51'07.36" E,0,0,Pulau Duata
210540049,2105,03°11'53.71" N 106°21'09.97" E,0,0,Pulau Dukuh
210540050,2105,03°19'59.99" N 106°02'52.00" E,0,0,Pulau Durai
210540051,2105,02°45'05.00" N 106°10'54.99" E,0,0,Pulau Gembili
210540052,2105,02°50'43.00" N 106°07'17.00" E,0,0,Pulau Genting
210540053,2105,03°15'02.99" N 106°26'56.00" E,0,0,Pulau Gentingsagudampar
210540054,2105,03°08'21.00" N 106°05'21.00" E,0,0,Pulau Gentinguyut
210540055,2105,03°09'27.00" N 106°22'03.00" E,0,0,Pulau Getah
210540056,2105,03°05'26.69" N 105°38'46.80" E,0,0,Pulau Gumailaut
210540057,2105,03°09'16.99" N 106°23'13.99" E,0,0,Pulau Gunungantu
210540058,2105,02°43'40.00" N 106°17'08.99" E,0,0,Pulau Hiu
210540059,2105,03°05'21.99" N 105°42'47.00" E,0,0,Pulau Impol Besar
210540060,2105,03°04'50.49" N 105°43'35.02" E,0,0,Pulau Impol Kecil
210540061,2105,02°57'17.08" N 105°50'55.32" E,0,0,Pulau Intan
210540062,2105,03°00'38.99" N 105°40'17.00" E,0,0,Pulau Ipan
210540063,2105,03°16'06.06" N 106°24'52.78" E,0,0,Pulau Ipil
210540064,2105,03°11'31.99" N 106°16'54.99" E,0,0,Pulau Jangkat
210540065,2105,02°56'40.99" N 105°45'33.99" E,1,0,Pulau Jemaja
210540066,2105,02°53'03.57" N 105°46'44.22" E,0,0,Pulau Jemaja Kecil
210540067,2105,03°11'39.86" N 106°26'46.07" E,0,0,Pulau Kado
210540068,2105,03°14'44.99" N 106°18'23.00" E,0,0,Pulau Kanan
210540069,2105,02°55'07.00" N 105°40'23.99" E,0,0,Pulau Katukan
210540070,2105,03°18'24.99" N 106°11'49.99" E,0,0,Pulau Kecik
210540071,2105,03°22'09.00" N 106°19'27.99" E,0,0,Pulau Kelong
210540072,2105,03°01'54.99" N 105°44'53.99" E,0,0,Pulau Kembung
210540073,2105,03°06'24.99" N 105°39'15.00" E,1,0,Pulau Keramut
210540074,2105,02°46'16.00" N 106°13'54.00" E,1,0,Pulau Kiabu
210540075,2105,02°43'08.00" N 106°16'13.74" E,0,0,Pulau Kosong
210540076,2105,03°23'13.99" N 106°14'48.99" E,0,0,Pulau Kucing
210540077,2105,03°12'42.00" N 106°27'19.00" E,0,0,Pulau Kudak
210540078,2105,03°13'29.75" N 106°28'32.68" E,0,0,Pulau Kukupluyong
210540079,2105,02°58'40.00" N 105°41'58.99" E,0,0,Pulau Kumbar
210540080,2105,03°03'40.19" N 105°41'23.76" E,0,0,Pulau Kusiklaut
210540081,2105,02°30'34.99" N 106°02'38.00" E,0,0,Pulau Lang
210540082,2105,03°22'20.30" N 106°13'57.85" E,0,0,Pulau Langor
210540083,2105,02°54'01.25" N 106°09'50.81" E,0,0,Pulau Lanting Laut Mangkudu
